Item,Qty,Designator,Value,,Footprint
1,1,C1,10u,,1210_C
2,1,C2,1u,,0603_C
3,1,C3,270p,,0603_C
5,3,"C5, C10, C11",.1uF,,0603_C
6,5,"C6, C7, C8, C9, C13",1uF,,0603_C
7,1,C12,.1u,,1210_C
8,2,"C14, C15",270pF,,0603_C
11,1,D3,1N4007W,,Diode_SMD:D_SOD-123F
12,2,"D4, D6",BAT54C,,SOT-23
13,1,D5,MMBZ5237BLT1G,,SOT-23
14,6,"D7, D9, D10, D11, D12, D14",LED,,LED_SMD:LED_0603_1608Metric
15,1,D8,BZX384-C36,,Diode_SMD:D_SOD-323_HandSoldering
16,1,D13,D_TVS_x2_AAC,,SOT-23
17,1,D15,1N4148WS,,Diode_SMD:D_SOD-323_HandSoldering
19,2,"J1, J2",6P6C,,coin-trunker:RJ12_Molex_95501-6669
24,1,J7,USB_B_Micro,,coin-trunker:USB_Micro-B_Molex-105017-0001
26,4,"K1, K2, K3, K4",HFD4/5-S,,Relay_SMD:Relay_DPDT_Omron_G6K-2F-Y
28,3,"Q1, Q2, Q3",BSS123L,,SOT-23
29,1,Q4,BSS84,,SOT-23
30,14,"R1, R2, R5, R11, R12, R14, R15, R16, R17, R18, R19, R20, R27, R29, R30",10k,,0603_R
31,1,R3,130k,,0603_R
32,1,R4,200R,,0603_R
34,1,R6,240k,,0603_R
35,1,R7,3.6K,,Resistor_SMD:R_2010_5025Metric
36,1,R8,560,,0603_R
37,1,R9,10K,,0603_R
38,1,R10,120 2W,,1206_R
39,1,R13,120,,0603_R
40,6,"R21, R22, R23, R24, R25, R26",470,,0603_R
41,1,R28,500k,,0603_R
42,1,SW1,TS-1187A-C-E-B,,Button_Switch_SMD:SW_SPST_TL3342
44,1,U1,ULN2003LV,,Package_SO:SOIC-16_3.9x9.9mm_P1.27mm
46,3,"U3, U5, U8",LTV-217,,Package_SO:SOP-4_4.4x2.6mm_P1.27mm
47,1,U4,TCA9534,,Package_SO:TSSOP-16_4.4x5mm_P0.65mm
48,1,U6,SC662K-3.3V,,SOT-23
